# 关键配置参数提取

charls_autoencoder_audit.py    | random_state         | 500
charls_recalculate_causal_impact.py | n_estimators         | 200
charls_recalculate_causal_impact.py | n_estimators         | 1000
charls_recalculate_causal_impact.py | honest               | True
clhls_external_validation_plan_a.py | random_state         | 500
clhls_full_pipeline.py         | random_state         | 500
compare_threshold.py           | random_state         | 42
compare_threshold.py           | random_state         | 42
compare_threshold.py           | random_state         | 42
config.py                      | RANDOM_SEED          | 500
config.py                      | ANALYSIS_LOCK        | True
config.py                      | USE_IMPUTED_DATA     | True
config.py                      | IMPUTED_DATA_PATH    | 'imputation_npj_results/pipeline_trace/step1_imputed_full.csv'
config.py                      | AGE_MIN              | 60
config.py                      | CESD_CUTOFF          | 10
config.py                      | COGNITION_CUTOFF     | 10
draw_propensity_overlap.py     | random_state         | 500
eval_single_model_mvp.py       | random_state         | 42
eval_single_model_mvp.py       | random_state         | 42
eval_single_model_mvp.py       | random_state         | 42
generate_ai_audit_package.py   | honest               | True
real_data_imputation_audit.py  | RANDOM_SEED          | 500
real_data_imputation_audit.py  | n_estimators         | 100
real_data_imputation_audit.py  | max_depth            | 5
replot_main_figures.py         | RANDOM_SEED          | 500
robust_imputation_audit.py     | RANDOM_SEED          | 500
robust_imputation_audit.py     | n_estimators         | 100
robust_imputation_audit.py     | max_depth            | 5
run_sensitivity_scenarios.py   | train_only           | True
calibration_curve.py           | random_state         | 42
calibration_curve.py           | random_state         | 42
calibration_curve.py           | random_state         | 42
calibration_curve.py           | random_state         | 42
calibration_curve.py           | random_state         | 42
calibration_curve.py           | random_state         | 0
calibration_curve.py           | random_state         | 42
calibration_curve.py           | random_state         | 42
calibration_curve.py           | random_state         | 42
calibration_curve.py           | n_estimators         | 100
calibration_curve.py           | max_depth            | 7
calibration_curve.py           | n_neighbors          | 9
calibration_curve.py           | n_estimators         | 200
calibration_curve.py           | n_estimators         | 200
calibration_curve.py           | n_estimators         | 200
calibration_curve.py           | max_depth            | 7
calibration_curve.py           | n_estimators         | 100
calibration_curve.py           | max_depth            | 10
calibration_curve.py           | max_depth            | 7
calibration_curve.py           | n_estimators         | 50
calibration_curve.py           | max_depth            | 20
calibration_curve.py           | n_estimators         | 100
calibration_curve.py           | max_depth            | 5
calibration_curve.py           | n_estimators         | 200
calibration_curve.py           | max_depth            | 7
Data Augmentation(ADASYN).py   | random_state         | 42
Data Augmentation(ADASYN).py   | n_neighbors          | 5
Decision_curve_analysis.py     | random_state         | 42
Decision_curve_analysis.py     | random_state         | 42
Decision_curve_analysis.py     | random_state         | 42
Decision_curve_analysis.py     | random_state         | 0
Decision_curve_analysis.py     | random_state         | 42
Decision_curve_analysis.py     | random_state         | 42
Decision_curve_analysis.py     | random_state         | 42
Decision_curve_analysis.py     | n_estimators         | 100
Decision_curve_analysis.py     | max_depth            | 7
Decision_curve_analysis.py     | n_neighbors          | 9
Decision_curve_analysis.py     | n_estimators         | 200
Decision_curve_analysis.py     | n_estimators         | 200
Decision_curve_analysis.py     | n_estimators         | 200
Decision_curve_analysis.py     | max_depth            | 7
Decision_curve_analysis.py     | n_estimators         | 100
Decision_curve_analysis.py     | max_depth            | 10
Decision_curve_analysis.py     | max_depth            | 7
Decision_curve_analysis.py     | n_estimators         | 50
Decision_curve_analysis.py     | max_depth            | 20
Decision_curve_analysis.py     | n_estimators         | 100
Decision_curve_analysis.py     | max_depth            | 5
Decision_curve_analysis.py     | n_estimators         | 200
Decision_curve_analysis.py     | max_depth            | 7
Feature_selection(Recursive Feature Elimination).py | random_state         | 42
Feature_selection(Recursive Feature Elimination).py | random_state         | 42
Feature_selection(Recursive Feature Elimination).py | n_estimators         | 100
PR_curve.py                    | random_state         | 42
PR_curve.py                    | random_state         | 42
PR_curve.py                    | n_estimators         | 100
PR_curve.py                    | max_depth            | 10
ROC_curve.py                   | random_state         | 42
ROC_curve.py                   | random_state         | 42
ROC_curve.py                   | random_state         | 42
ROC_curve.py                   | random_state         | 0
ROC_curve.py                   | random_state         | 42
ROC_curve.py                   | random_state         | 42
ROC_curve.py                   | random_state         | 42
ROC_curve.py                   | n_estimators         | 100
ROC_curve.py                   | max_depth            | 7
ROC_curve.py                   | n_neighbors          | 9
ROC_curve.py                   | n_estimators         | 200
ROC_curve.py                   | n_estimators         | 200
ROC_curve.py                   | n_estimators         | 200
ROC_curve.py                   | max_depth            | 7
ROC_curve.py                   | n_estimators         | 100
ROC_curve.py                   | max_depth            | 10
ROC_curve.py                   | max_depth            | 7
ROC_curve.py                   | n_estimators         | 50
ROC_curve.py                   | max_depth            | 20
ROC_curve.py                   | n_estimators         | 100
ROC_curve.py                   | max_depth            | 5
ROC_curve.py                   | n_estimators         | 200
ROC_curve.py                   | max_depth            | 7
add_noise.py                   | random_state         | 42
GBDT.py                        | random_state         | 42
Guassin_Classfication.py       | random_state         | 0
MLP.py                         | random_state         | 42
RandomForest.py                | random_state         | 42
Rotation_Forest.py             | random_state         | 42
multiclass_comparision_svm_struct.py | random_state         | 0
multiclass_comparision_svm_struct.py | random_state         | 0
multiclass_comparision_svm_struct.py | random_state         | 0
plot_binary_svm.py             | random_state         | 0
test_binary_svm.py             | random_state         | 1
test_binary_svm.py             | random_state         | 1
test_binary_svm.py             | random_state         | 1
test_binary_svm.py             | random_state         | 1
test_crammer_singer_svm.py     | random_state         | 42
test_crammer_singer_svm.py     | random_state         | 42
test_crammer_singer_svm.py     | random_state         | 42
test_crammer_singer_svm.py     | random_state         | 42
test_crammer_singer_svm.py     | random_state         | 42
test_crammer_singer_svm.py     | random_state         | 42
test_crammer_singer_svm.py     | random_state         | 1
test_crammer_singer_svm.py     | random_state         | 1
test_frankwolfe_svm.py         | random_state         | 1
test_frankwolfe_svm.py         | random_state         | 1
test_graph_svm.py              | random_state         | 42
test_graph_svm.py              | random_state         | 1
test_n_slack_ssvm.py           | random_state         | 1
test_one_slack_ssvm.py         | random_state         | 1
test_subgradient_svm.py        | random_state         | 1
test_utils_logging.py          | random_state         | 1
